Country Name,Gender,Population,Continent,Income,Probability of Survival to Age 5,yearsOfSchool,Harmonized Test Scores,LearningNullAdjusted Years of School,Fraction of Children Under 5 Not Stunted,adultSurvivalRate,HUMAN CAPITAL INDEX 2020 (LOWER BOUND),HUMAN CAPITAL INDEX 2020,HUMAN CAPITAL INDEX 2020 (UPPER BOUND)
Afghanistan,Female,38928341,Asia,Low income,0.94,6.9,350,3.9,0.62,0.81,0.36,0.37,0.38
Albania,Female,2877800,Europe,Upper middle income,0.99,13.3,444,9.4,0.89,0.95,0.65,0.66,0.68
Algeria,Female,43851043,Africa,Lower middle income,0.98,12.2,383,7.5,0.89,0.92,0.55,0.56,0.57
Angola,Female,32866268,Africa,Lower middle income,0.93,7,325,3.6,0.66,0.78,0.33,0.36,0.38
Antigua and Barbuda,Female,97928,North America,High income,0.99,13.3,417,8.9,Null,0.92,0.61,0.63,0.64
Argentina,Female,45195777,South America,Upper middle income,0.99,13.1,406,8.5,0.92,0.92,0.6,0.61,0.62
Armenia,Female,2963234,Europe,Upper middle income,0.99,11.5,448,8.3,0.92,0.94,0.59,0.6,0.61
Australia,Female,25499881,Oceania,High income,1,13.6,520,11.3,Null,0.96,0.77,0.78,0.79
Austria,Female,9006400,Europe,High income,1,13.5,510,11,Null,0.96,0.75,0.76,0.77
Azerbaijan,Female,10139175,Europe,Upper middle income,0.98,12.4,420,8.3,0.82,0.91,0.57,0.59,0.6
Bahrain,Female,1701583,Asia,High income,0.99,13.1,470,9.8,Null,0.94,0.68,0.69,0.69
Bangladesh,Female,164689383,Asia,Lower middle income,0.97,10.5,370,6.2,0.7,0.89,0.47,0.48,0.49
Belarus,Female,9449321,Europe,Upper middle income,1,13.8,490,10.8,Null,0.92,0.72,0.73,0.74
Belgium,Female,11589616,Europe,High income,1,13.6,517,11.2,Null,0.95,0.76,0.77,0.78
Benin,Female,12123198,Africa,Lower middle income,0.91,8.8,384,5.4,Null,0.79,0.38,0.4,0.42
Bhutan,Female,771612,Asia,Lower middle income,0.97,10.7,370,6.3,0.75,0.81,0.45,0.47,0.5
Bosnia and Herzegovina,Female,3280815,Europe,Upper middle income,0.99,11.8,421,7.9,0.91,0.94,0.58,0.59,0.6
Botswana,Female,2351625,Africa,Upper middle income,0.97,8.5,401,5.5,Null,0.84,0.41,0.44,0.46
Brazil,Female,212559409,South America,Upper middle income,0.99,Null,416,Null,Null,0.91,Null,Null,Null
Brunei Darussalam,Female,437479,Asia,High income,0.99,13.3,445,9.5,0.8,0.9,0.64,0.64,0.65
Bulgaria,Female,6948445,Europe,Upper middle income,0.99,12.2,451,8.8,0.93,0.92,0.62,0.63,0.64
Burkina Faso,Female,20903278,Africa,Low income,0.93,7,400,4.5,0.78,0.78,0.37,0.39,0.41
Burundi,Female,11890781,Africa,Low income,0.95,7.9,432,5.5,0.49,0.75,0.38,0.4,0.43
Cambodia,Female,16718971,Asia,Lower middle income,0.98,9.6,Null,Null,0.68,0.87,Null,Null,Null
Cameroon,Female,26545864,Africa,Lower middle income,0.93,8.3,383,5.1,0.73,0.72,0.37,0.4,0.42
Canada,Female,37742157,North America,High income,1,13.7,539,11.8,Null,0.95,0.8,0.81,0.82
Central African Republic,Female,4829764,Africa,Low income,0.89,3.8,Null,Null,0.61,0.63,Null,Null,Null
Chad,Female,16425859,Africa,Low income,0.89,4.4,323,2.3,0.61,0.67,0.27,0.29,0.31
Chile,Female,19116209,South America,High income,0.99,13.1,454,9.5,Null,0.94,0.65,0.67,0.68
China,Female,1439323774,Asia,Upper middle income,0.99,13.2,441,9.3,0.92,0.94,0.65,0.66,0.67
Colombia,Female,50882884,South America,Upper middle income,0.99,13,415,8.6,0.89,0.92,0.6,0.61,0.63
Comoros,Female,869595,Africa,Lower middle income,0.94,8.4,387,5.2,0.71,0.81,0.37,0.41,0.44
"Congo, Dem. Rep.",Female,5518092,Africa,Low income,0.92,8.8,308,4.3,0.6,0.78,0.34,0.37,0.39
"Congo, Rep.",Female,5518000,Africa,Lower middle income,0.95,9.1,369,5.4,0.8,0.76,0.4,0.43,0.45
Costa Rica,Female,5094114,North America,Upper middle income,0.99,13.3,426,9,Null,0.94,0.63,0.64,0.65
Croatia,Female,4105268,Europe,High income,1,13.6,492,10.7,Null,0.95,0.73,0.74,0.75
Cyprus,Female,875899,Europe,High income,1,13.6,500,10.9,Null,0.97,0.75,0.76,0.77
Czech Republic,Female,10708982,Europe,High income,1,13.6,518,11.3,Null,0.95,0.76,0.77,0.78
C̫te d'Ivoire,Female,26380000,Africa,Lower middle income,0.93,7.6,371,4.5,0.8,0.68,0.36,0.38,0.4
Denmark,Female,5792203,Europe,High income,1,13.5,522,11.3,Null,0.95,0.76,0.77,0.78
Dominica,Female,71991,North America,Upper middle income,0.97,12.6,416,8.4,Null,0.9,0.56,0.58,0.59
Dominican Republic,Female,10847904,North America,Upper middle income,0.97,12.1,353,6.8,0.94,0.89,0.51,0.52,0.54
Ecuador,Female,17643060,South America,Upper middle income,0.99,13.2,421,8.9,0.78,0.91,0.6,0.61,0.62
"Egypt, Arab Rep.",Female,102334403,Africa,Lower middle income,0.98,11.6,368,6.8,0.79,0.9,0.5,0.51,0.53
El Salvador,Female,6486201,North America,Lower middle income,0.99,11,439,7.8,0.88,0.9,0.55,0.57,0.58
Estonia,Female,1326539,Europe,High income,1,13.5,548,11.9,Null,0.94,0.8,0.81,0.82
Eswatini,Female,1160164,Africa,Lower middle income,0.95,6.8,Null,Null,0.78,0.7,Null,Null,Null
Ethiopia,Female,114963583,Africa,Low income,0.95,7.5,344,4.1,0.66,0.82,0.37,0.38,0.39
Fiji,Female,896444,Oceania,Upper middle income,0.98,11.4,400,7.3,0.91,0.83,0.52,0.53,0.55
Finland,Female,5540718,Europe,High income,1,13.7,548,12,Null,0.96,0.82,0.83,0.84
France,Female,65273512,Europe,High income,1,13.8,514,11.4,Null,0.95,0.77,0.78,0.79
Gabon,Female,2225728,Africa,Upper middle income,0.96,8.5,454,6.2,0.85,0.82,0.45,0.47,0.5
"Gambia, The",Female,2416664,Africa,Low income,0.95,9.8,354,5.6,0.84,0.78,0.41,0.44,0.46
Georgia,Female,3989175,Europe,Upper middle income,0.99,13.1,410,8.6,Null,0.92,0.6,0.61,0.62
Germany,Female,83783945,Europe,High income,1,13.3,521,11.1,Null,0.95,0.76,0.77,0.78
Ghana,Female,31072945,Africa,Lower middle income,0.96,12.2,306,6,0.84,0.79,0.44,0.46,0.47
Greece,Female,10423056,Europe,High income,1,13.3,478,10.2,Null,0.96,0.7,0.71,0.72
Grenada,Female,112519,North America,Upper middle income,0.99,13.3,409,8.7,Null,0.88,0.58,0.6,0.61
Guatemala,Female,17915567,North America,Upper middle income,0.98,9.7,408,6.3,0.54,0.89,0.46,0.47,0.48
Guinea,Female,13132792,Africa,Low income,0.9,6.2,397,3.9,0.73,0.77,0.34,0.36,0.37
Guyana,Female,786559,South America,Upper middle income,0.97,12.3,356,7,0.9,0.82,0.5,0.52,0.53
Haiti,Female,11402533,North America,Low income,0.94,11.4,342,6.3,0.8,0.81,0.44,0.46,0.48
Honduras,Female,9904608,North America,Lower middle income,0.98,9.8,399,6.3,0.79,0.89,0.48,0.49,0.5
"Hong Kong SAR, China",Female,7482000,Asua,High income,0.99,13.8,557,12.3,Null,0.97,0.84,0.85,0.86
Hungary,Female,9660350,Europe,High income,1,13,497,10.3,Null,0.93,0.7,0.71,0.72
Iceland,Female,341250,Europe,High income,1,13.5,508,11,Null,0.97,0.76,0.77,0.78
India,Female,1380004385,Asia,Lower middle income,0.96,11.2,399,7.2,0.66,0.85,0.5,0.5,0.51
Indonesia,Female,273523621,Asia,Upper middle income,0.98,12.5,402,8,0.73,0.88,0.55,0.56,0.57
"Iran, Islamic Rep.",Female,83992953,Asia,Upper middle income,0.99,11.8,446,8.4,Null,0.95,0.6,0.61,0.62
Iraq,Female,40222503,Asia,Upper middle income,0.98,7.2,377,4.4,0.87,0.87,0.42,0.42,0.43
Ireland,Female,4937796,Europe,High income,1,13.9,524,11.7,Null,0.96,0.79,0.8,0.81
Israel,Female,8655541,Asia,High income,1,13.9,493,11,Null,0.96,0.75,0.76,0.78
Italy,Female,60461828,Europe,High income,1,13.3,494,10.5,Null,0.96,0.73,0.74,0.75
